cluster,modularity,size
4,4.075043147324542e-3/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,211/367/592/849/2696
5,4.075043147324542e-3/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,156/367/592/849/2696
11,1.9838160681041717e-2/1.2357848294826335e-2/4.979145754766157e-3/2.3595323207466212e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,21/46/73/106/180/225/592/849/2696
12,1.9838160681041717e-2/1.2357848294826335e-2/4.979145754766157e-3/2.3595323207466212e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,25/46/73/106/180/225/592/849/2696
14,7.380837309212865e-3/1.2357848294826335e-2/4.979145754766157e-3/2.3595323207466212e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,6/27/73/106/180/225/592/849/2696
15,7.380837309212865e-3/1.2357848294826335e-2/4.979145754766157e-3/2.3595323207466212e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,21/27/73/106/180/225/592/849/2696
16,4.979145754766157e-3/2.3595323207466212e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,33/106/180/225/592/849/2696
17,2.3595323207466212e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,74/180/225/592/849/2696
19,3.571670749686573e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,23/45/225/592/849/2696
20,3.571670749686573e-2/2.378589629537771e-2/3.893089128860486e-2/4.9019020185566226e-2/3.016067600441512e-2,22/45/225/592/849/2696
24,4.4323769866821267e-4/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,68/93/156/257/849/2696
25,4.4323769866821267e-4/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,25/93/156/257/849/2696
28,5.750963461526182e-2/2.9021239612216046e-2/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,28/40/63/156/257/849/2696
29,5.750963461526182e-2/2.9021239612216046e-2/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,12/40/63/156/257/849/2696
32,7.756501116888331e-3/1.5488065655571717e-2/2.9021239612216046e-2/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,6/16/23/63/156/257/849/2696
33,7.756501116888331e-3/1.5488065655571717e-2/2.9021239612216046e-2/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,10/16/23/63/156/257/849/2696
34,1.5488065655571717e-2/2.9021239612216046e-2/6.964258255791447e-2/9.259170112941664e-2/4.9019020185566226e-2/3.016067600441512e-2,7/23/63/156/257/849/2696
